id,type,question,scenario,timeLimit,options,strengthTargets
q1,mcq,"When faced with a complex problem at work, what is your first instinct?",,"","[{""id"":""a"",""text"":""Break it down into smaller, manageable parts"",""strengthWeights"":{ ""analytical"":1.5, ""problem"":1 } }, {""id"":""b"",""text"":""Brainstorm multiple creative solutions"",""strengthWeights"":{ ""creative"":1.5, ""problem"":0.5 } }, {""id"":""c"",""text"":""Discuss it with the team to gather perspectives"",""strengthWeights"":{ ""communication"":1.5, ""leadership"":0.5 } }, {""id"":""d"",""text"":""Consider how it fits into the bigger picture"",""strengthWeights"":{ ""strategic"":1.5, ""leadership"":0.5 } }]","[analytical, creative, problem, strategic]"
q2,scenario,"How would you handle this situation?","Your team is behind on a critical deadline. The client is getting anxious, and team morale is dropping. You have limited resources and cannot extend the deadline.",,"[{""id"":""a"",""text"":""Prioritize tasks ruthlessly and cut non-essential features"",""strengthWeights"":{ ""strategic"":1.5, ""problem"":1 } }, {""id"":""b"",""text"":""Rally the team with motivation and take on extra work yourself"",""strengthWeights"":{ ""leadership"":1.5, ""emotional"":1 } }, {""id"":""c"",""text"":""Communicate transparently with the client about realistic expectations"",""strengthWeights"":{ ""communication"":1.5, ""emotional"":0.5 } }, {""id"":""d"",""text"":""Analyze the bottlenecks and optimize the workflow"",""strengthWeights"":{ ""analytical"":1.5, ""problem"":1 } }]","[leadership, emotional, strategic, problem]"
q3,mcq,"How do you typically learn a new skill?",,"","[{""id"":""a"",""text"":""Read documentation and understand the theory first"",""strengthWeights"":{ ""analytical"":1.5, ""learning"":1 } }, {""id"":""b"",""text"":""Jump in and learn by experimenting"",""strengthWeights"":{ ""creative"":1, ""learning"":1.5 } }, {""id"":""c"",""text"":""Watch tutorials and follow along step-by-step"",""strengthWeights"":{ ""learning"":1.5, ""problem"":0.5 } }, {""id"":""d"",""text"":""Find a mentor or peer to guide the learning process"",""strengthWeights"":{ ""communication"":1, ""learning"":1 } }]","[learning, analytical, creative]"
q4,text,"Describe a challenging situation you overcame and what you learned from it.",,"180","","[emotional, problem, communication, learning]"
q5,scenario,"What approach would you take?","You are leading a project where two team members have conflicting ideas about the technical direction. Both approaches have merit, but the team needs to decide quickly.",,"[{""id"":""a"",""text"":""Facilitate a structured debate and make the final call"",""strengthWeights"":{ ""leadership"":1.5, ""communication"":1 } }, {""id"":""b"",""text"":""Analyze both approaches objectively using data"",""strengthWeights"":{ ""analytical"":1.5, ""problem"":1 } }, {""id"":""c"",""text"":""Find a creative hybrid solution that incorporates both ideas"",""strengthWeights"":{ ""creative"":1.5, ""problem"":0.5 } }, {""id"":""d"",""text"":""Consider long-term implications and scalability"",""strengthWeights"":{ ""strategic"":1.5, ""analytical"":0.5 } }]","[leadership, analytical, creative, strategic]"
q6,mcq,"When working on a team project, you naturally tend to:",,"","[{""id"":""a"",""text"":""Take charge and coordinate the team efforts"",""strengthWeights"":{ ""leadership"":1.5, ""strategic"":0.5 } }, {""id"":""b"",""text"":""Focus on the details and ensure quality"",""strengthWeights"":{ ""analytical"":1.5, ""problem"":0.5 } }, {""id"":""c"",""text"":""Generate ideas and bring fresh perspectives"",""strengthWeights"":{ ""creative"":1.5, ""communication"":0.5 } }, {""id"":""d"",""text"":""Support teammates and maintain group harmony"",""strengthWeights"":{ ""emotional"":1.5, ""communication"":1 } }]","[leadership, analytical, creative, emotional]"
q7,mcq,"Under high pressure, you typically:",,"","[{""id"":""a"",""text"":""Stay calm and methodically work through the problem"",""strengthWeights"":{ ""emotional"":1.5, ""analytical"":1 } }, {""id"":""b"",""text"":""Feel energized and perform even better"",""strengthWeights"":{ ""emotional"":1.5, ""leadership"":0.5 } }, {""id"":""c"",""text"":""Seek support from others and communicate needs"",""strengthWeights"":{ ""communication"":1.5, ""emotional"":0.5 } }, {""id"":""d"",""text"":""Reprioritize and focus on what matters most"",""strengthWeights"":{ ""strategic"":1.5, ""problem"":1 } }]","[emotional, leadership, strategic]"
q8,text,"If you had unlimited resources, what problem would you solve and how?",,"180","","[creative, strategic, problem, leadership]"
q9,scenario,"How would you approach this opportunity?","You have the chance to lead a new initiative at your company. It's high-risk but could have significant impact. You'll need to build a team and convince stakeholders.",,"[{""id"":""a"",""text"":""Develop a comprehensive business case with data"",""strengthWeights"":{ ""analytical"":1.5, ""strategic"":1 } }, {""id"":""b"",""text"":""Create a compelling vision and pitch to stakeholders"",""strengthWeights"":{ ""communication"":1.5, ""leadership"":1 } }, {""id"":""c"",""text"":""Start small with a proof of concept to reduce risk"",""strengthWeights"":{ ""problem"":1.5, ""strategic"":0.5 } }, {""id"":""d"",""text"":""Focus on building the right team first"",""strengthWeights"":{ ""leadership"":1.5, ""emotional"":0.5 } }]","[leadership, strategic, communication, problem]"
q10,mcq,"When explaining a complex concept to someone, you prefer to:",,"","[{""id"":""a"",""text"":""Use analogies and visual metaphors"",""strengthWeights"":{ ""creative"":1.5, ""communication"":1 } }, {""id"":""b"",""text"":""Break it down into logical steps"",""strengthWeights"":{ ""analytical"":1.5, ""communication"":0.5 } }, {""id"":""c"",""text"":""Relate it to their personal experience"",""strengthWeights"":{ ""emotional"":1, ""communication"":1.5 } }, {""id"":""d"",""text"":""Provide examples and hands-on demonstrations"",""strengthWeights"":{ ""learning"":1.5, ""communication"":1 } }]","[communication, creative, analytical, learning]"
